# stamp x y z yaw
3.592000 4.958684 0.050866 -0.001556 0.058271
3.612000 5.002058 0.061313 -0.002077 0.064962
3.632000 5.046303 0.070055 -0.002627 0.068974
3.652000 5.090436 0.076504 -0.003649 0.070090
3.672000 5.132399 0.079571 -0.003938 0.069180
3.692000 5.171623 0.078456 -0.002914 0.066906
3.712000 5.210173 0.077224 -0.002523 0.062999
3.732000 5.248108 0.074864 -0.002603 0.057889
3.752000 5.286792 0.072256 -0.002739 0.052716
3.772000 5.324426 0.068980 -0.002880 0.047157
3.792000 5.361539 0.065106 -0.002982 0.041346
3.812000 5.398153 0.060745 -0.003003 0.035022
3.832000 5.432991 0.054842 -0.002814 0.027612
3.852000 5.466618 0.047888 -0.002849 0.019459
3.872000 5.498436 0.039926 -0.002953 0.010433
3.892000 5.528873 0.030996 -0.003043 0.000876
3.912000 5.558230 0.021328 -0.002830 -0.009534
3.932000 5.585674 0.010114 -0.002625 -0.020900
3.952000 5.612364 -0.001646 -0.002496 -0.032403
3.972000 5.639290 -0.011533 -0.001842 -0.039949
3.992000 5.666004 -0.020105 -0.001709 -0.045232
4.012000 5.692477 -0.026646 -0.001803 -0.048343
4.032000 5.719004 -0.031630 -0.001687 -0.049532
4.052000 5.745438 -0.035195 -0.001583 -0.048810
4.072000 5.772039 -0.037596 -0.001509 -0.046576
4.092000 5.798877 -0.038809 -0.001437 -0.043262
4.112000 5.826360 -0.038907 -0.001389 -0.039449
4.132000 5.854869 -0.038070 -0.001368 -0.035349
4.152000 5.884076 -0.036403 -0.001360 -0.030754
4.172000 5.915300 -0.034171 -0.001413 -0.026242
4.192000 5.948323 -0.031528 -0.001462 -0.021406
4.212000 5.982733 -0.028176 -0.001530 -0.016436
4.232000 6.018383 -0.023724 -0.001519 -0.011004
4.252000 6.055392 -0.018266 -0.001519 -0.004861
4.272000 6.094328 -0.011630 -0.001529 0.002132
4.292000 6.134604 -0.003493 -0.001578 0.010563
4.312000 6.176494 0.004124 -0.001619 0.017885
4.332000 6.219623 0.009444 -0.001562 0.022251
4.352000 6.264147 0.012877 -0.001508 0.024296
4.372000 6.308077 0.014103 -0.001504 0.023343
4.392000 6.352503 0.012803 -0.001506 0.020512
4.412000 6.397026 0.009270 -0.001488 0.015258
4.432000 6.440185 0.002714 -0.001468 0.007452
4.452000 6.482459 -0.006778 -0.001424 -0.002719
4.472000 6.523667 -0.019205 -0.001370 -0.015325
4.492000 6.564143 -0.034024 -0.001413 -0.029388
4.512000 6.604440 -0.048601 -0.001489 -0.042123
4.532000 6.644772 -0.061196 -0.002041 -0.051435
4.552000 6.685116 -0.071418 -0.002810 -0.058024
4.572000 6.724615 -0.079062 -0.003903 -0.061843
4.592000 6.763269 -0.084468 -0.005408 -0.063164
4.612000 6.801053 -0.087529 -0.007169 -0.061977
4.632000 6.837984 -0.087879 -0.008733 -0.058161
4.652000 6.873820 -0.085143 -0.009520 -0.051349
4.672000 6.909311 -0.079616 -0.009891 -0.042730
4.692000 6.944468 -0.069373 -0.008254 -0.028557
4.712000 6.980506 -0.055436 -0.006272 -0.011223
4.732000 7.018253 -0.038586 -0.004253 0.006452
4.752000 7.058307 -0.021055 -0.003224 0.023298
4.772000 7.101055 -0.003429 -0.001098 0.040542
4.792000 7.143911 0.016705 -0.000314 0.059350
4.812000 7.188154 0.036277 -0.001303 0.075655
4.832000 7.232108 0.054128 -0.001738 0.088268
4.852000 7.275124 0.069486 -0.001981 0.098027
4.872000 7.317451 0.082694 -0.002202 0.105230
4.892000 7.358968 0.093507 -0.002826 0.110179
4.912000 7.399614 0.102017 -0.003792 0.112305
4.932000 7.439368 0.108496 -0.005096 0.111305
4.952000 7.478287 0.113029 -0.006714 0.107269
4.972000 7.516475 0.115439 -0.008426 0.100352
4.992000 7.553854 0.115259 -0.009592 0.090855
5.012000 7.589908 0.110680 -0.008989 0.077360
5.032000 7.627410 0.101368 -0.007470 0.060124
5.052000 7.667109 0.088737 -0.005602 0.041639
5.072000 7.709324 0.074224 -0.003852 0.023931
5.092000 7.753716 0.058955 -0.003257 0.006803
5.112000 7.800138 0.043005 -0.002450 -0.010126
5.132000 7.848389 0.025490 -0.001943 -0.027410
5.152000 7.898555 0.006562 -0.001661 -0.045006
5.172000 7.949960 -0.013210 -0.001552 -0.062987
5.192000 8.002591 -0.033682 -0.001558 -0.080832
5.212000 8.055607 -0.052723 -0.001009 -0.096401
5.232000 8.106926 -0.067076 -0.000784 -0.107628
5.252000 8.156605 -0.078847 -0.001480 -0.115540
5.272000 8.206862 -0.090550 -0.001822 -0.119401
5.292000 8.257722 -0.100654 -0.002221 -0.119748
5.312000 8.308548 -0.108511 -0.003099 -0.117439
5.332000 8.358780 -0.113491 -0.004307 -0.112585
5.352000 8.408190 -0.115569 -0.005767 -0.105351
5.372000 8.456833 -0.115091 -0.007484 -0.095873
5.392000 8.504779 -0.111938 -0.009100 -0.084586
5.412000 8.551526 -0.104456 -0.008886 -0.069546
5.432000 8.599435 -0.092127 -0.007435 -0.050796
5.452000 8.649503 -0.076436 -0.005838 -0.030487
5.472000 8.701844 -0.058373 -0.004489 -0.010191
5.492000 8.756460 -0.039238 -0.003190 0.009899
5.512000 8.812901 -0.019096 -0.002737 0.029689
5.532000 8.870848 0.001926 -0.002055 0.049588
5.552000 8.929187 0.024040 -0.001679 0.069065
5.572000 8.985651 0.040876 -0.000791 0.082833
5.592000 9.039994 0.053845 -0.001251 0.093156
5.612000 9.093530 0.065611 -0.001822 0.100350
5.632000 9.147782 0.075697 -0.002237 0.104503
5.652000 9.201854 0.083407 -0.003033 0.105993
5.672000 9.255237 0.088787 -0.004329 0.105031
5.692000 9.307693 0.091690 -0.005858 0.101398
5.712000 9.359239 0.092028 -0.007575 0.095325
5.732000 9.409929 0.089609 -0.009075 0.086691
5.752000 9.459507 0.083940 -0.009792 0.075491
5.772000 9.507606 0.074072 -0.008983 0.060155
5.792000 9.556745 0.059845 -0.007150 0.039941
5.812000 9.607809 0.041512 -0.005192 0.017207
5.832000 9.661474 0.020897 -0.003384 -0.005150
5.852000 9.717383 -0.000591 -0.002394 -0.026550
5.872000 9.774669 -0.022299 -0.001922 -0.048773
5.892000 9.833771 -0.045302 -0.001734 -0.071488
5.912000 9.893515 -0.067751 -0.001300 -0.091248
5.932000 9.951875 -0.085215 -0.001406 -0.104953
5.952000 10.009649 -0.100109 -0.002633 -0.114914
5.972000 10.068276 -0.114032 -0.003618 -0.121448
5.992000 10.126513 -0.125944 -0.004999 -0.125263
6.012000 10.183804 -0.135277 -0.006578 -0.126380
6.032000 10.240191 -0.142073 -0.008294 -0.124811
6.052000 10.295461 -0.145452 -0.009306 -0.119795
6.072000 10.349688 -0.145376 -0.009350 -0.110888
6.092000 10.403217 -0.142525 -0.009102 -0.098776
6.112000 10.456212 -0.137005 -0.009058 -0.084804
6.132000 10.508517 -0.129076 -0.009327 -0.069431
6.152000 10.559651 -0.116063 -0.007506 -0.049009
6.172000 10.613291 -0.099702 -0.006095 -0.026584
6.192000 10.669288 -0.080482 -0.004405 -0.003623
6.212000 10.727371 -0.060068 -0.003067 0.018653
6.232000 10.787353 -0.038739 -0.002389 0.040711
6.252000 10.848782 -0.016319 -0.001933 0.062690
6.272000 10.909151 0.006556 -0.001867 0.082501
6.292000 10.967722 0.029393 -0.001624 0.101161
6.312000 11.024194 0.051729 -0.000922 0.118511
6.332000 11.079535 0.069320 -0.001635 0.130808
6.352000 11.135182 0.084715 -0.002546 0.139043
6.372000 11.191761 0.099175 -0.003498 0.143811
6.392000 11.248107 0.111530 -0.004780 0.145647
6.412000 11.303669 0.121312 -0.006346 0.145026
6.432000 11.358376 0.128553 -0.008078 0.141758
6.452000 11.412101 0.132443 -0.009261 0.135322
6.472000 11.464811 0.132606 -0.009392 0.125127
6.492000 11.516872 0.129950 -0.009178 0.111903
6.512000 11.568373 0.124818 -0.009212 0.096935
6.532000 11.618915 0.116797 -0.009051 0.079956
6.552000 11.669903 0.103423 -0.006956 0.057167
6.572000 11.723541 0.087207 -0.005022 0.033690
6.592000 11.779792 0.069152 -0.003554 0.011176
6.612000 11.837727 0.049745 -0.002883 -0.010479
6.632000 11.896466 0.029770 -0.002087 -0.031661
6.652000 11.955921 0.008864 -0.001755 -0.052976
6.672000 12.015276 -0.010701 -0.001469 -0.070102
6.692000 12.073283 -0.031621 -0.000361 -0.088445
6.712000 12.130330 -0.050457 -0.001567 -0.103115
6.732000 12.186747 -0.066484 -0.001806 -0.112394
6.752000 12.242503 -0.080357 -0.001980 -0.119028
6.772000 12.297677 -0.092058 -0.002222 -0.122964
6.792000 12.352241 -0.101335 -0.002885 -0.124285
6.812000 12.406113 -0.108637 -0.004149 -0.122937
6.832000 12.459040 -0.113795 -0.005616 -0.118415
6.852000 12.511053 -0.116639 -0.007268 -0.110978
6.872000 12.562234 -0.116698 -0.008844 -0.101057
6.892000 12.612409 -0.113394 -0.009675 -0.088756
6.912000 12.661172 -0.106300 -0.009425 -0.073557
6.932000 12.710161 -0.093600 -0.007635 -0.053685
6.952000 12.761346 -0.077497 -0.005858 -0.032240
6.972000 12.815174 -0.059186 -0.004154 -0.011184
6.992000 12.871225 -0.039328 -0.003613 0.009146
7.012000 12.927970 -0.018756 -0.002869 0.029037
7.032000 12.981912 0.002488 -0.002148 0.049854
7.052000 13.034475 0.026382 -0.001049 0.071854
7.072000 13.086102 0.046107 -0.001663 0.088939
7.092000 13.137582 0.064052 -0.001811 0.101853
7.112000 13.188620 0.080024 -0.001979 0.112024
7.132000 13.239366 0.093897 -0.002475 0.119409
7.152000 13.289604 0.105574 -0.003320 0.123713
7.172000 13.339189 0.115457 -0.004694 0.125087
7.192000 13.387904 0.123323 -0.006281 0.123225
7.212000 13.435718 0.128852 -0.007988 0.118368
7.232000 13.482606 0.131378 -0.009178 0.110298
7.252000 13.528418 0.130081 -0.009436 0.099329
7.272000 13.573261 0.125836 -0.009439 0.086165
7.292000 13.616788 0.117738 -0.008493 0.069844
7.312000 13.661690 0.105063 -0.006825 0.050171
7.332000 13.709173 0.089469 -0.005212 0.029728
7.352000 13.759265 0.072109 -0.003714 0.010203
7.372000 13.811551 0.053796 -0.003118 -0.008410
7.392000 13.865817 0.034754 -0.002492 -0.027399
7.412000 13.921047 0.014766 -0.002198 -0.045696
7.432000 13.976502 -0.001887 -0.002137 -0.060880
7.452000 14.032685 -0.017333 -0.002090 -0.073480
