# stamp x y z yaw
4.622000 9.944223 0.679960 -0.001656 0.108027
4.642000 9.999476 0.685701 -0.001656 0.107784
4.662000 10.054726 0.691496 -0.001657 0.107559
4.682000 10.110014 0.696862 -0.001657 0.106961
4.702000 10.165297 0.702273 -0.001657 0.106410
4.722000 10.220561 0.707895 -0.001657 0.106113
4.742000 10.275825 0.713547 -0.001657 0.105870
4.762000 10.331072 0.719391 -0.001657 0.105882
4.782000 10.386238 0.726166 -0.001657 0.106767
4.802000 10.441417 0.732839 -0.001657 0.107569
4.822000 10.496526 0.740181 -0.001657 0.109013
4.842000 10.551594 0.747923 -0.001657 0.110782
4.862000 10.606634 0.755867 -0.001657 0.112729
4.882000 10.661495 0.765208 -0.001657 0.115904
4.902000 10.716378 0.774625 -0.001657 0.119056
4.922000 10.771338 0.783360 -0.001657 0.121307
4.942000 10.826297 0.791917 -0.001657 0.123237
4.962000 10.881243 0.800378 -0.001657 0.124888
4.982000 10.936385 0.807222 -0.001656 0.124909
5.002000 10.991502 0.814268 -0.001656 0.125012
5.022000 11.046643 0.821041 -0.001656 0.124843
5.042000 11.101794 0.827705 -0.001657 0.124579
5.062000 11.156932 0.834480 -0.001657 0.124449
5.082000 11.212052 0.841444 -0.001657 0.124507
5.102000 11.267178 0.848360 -0.001657 0.124529
5.122000 11.322257 0.855686 -0.001657 0.124972
5.142000 11.377323 0.863174 -0.001657 0.125556
5.162000 11.432362 0.870872 -0.001657 0.126378
5.182000 11.487279 0.879625 -0.001657 0.128158
5.202000 11.542200 0.888359 -0.001657 0.129885
5.222000 11.597037 0.897654 -0.001657 0.132095
5.242000 11.651799 0.907466 -0.001657 0.134704
5.262000 11.706578 0.917205 -0.001657 0.137107
5.282000 11.761345 0.926934 -0.001657 0.139358
5.302000 11.816061 0.936850 -0.001657 0.141664
5.322000 11.870895 0.946035 -0.001657 0.143088
5.342000 11.925773 0.954926 -0.001657 0.144120
5.362000 11.980641 0.963826 -0.001657 0.145044
5.382000 12.035610 0.971929 -0.001657 0.145175
5.402000 12.090553 0.980200 -0.001657 0.145405
5.422000 12.145497 0.988468 -0.001657 0.145632
5.442000 12.200441 0.996737 -0.001657 0.145849
5.462000 12.255364 1.005163 -0.001657 0.146239
5.482000 12.310221 1.014092 -0.001657 0.147083
5.502000 12.365082 1.022983 -0.001657 0.147880
5.522000 12.419867 1.032388 -0.001657 0.149159
5.542000 12.474627 1.042015 -0.001657 0.150598
5.562000 12.529334 1.051866 -0.001657 0.152235
5.582000 12.583891 1.062732 -0.001657 0.154760
5.602000 12.638465 1.073590 -0.001657 0.157196
5.622000 12.692919 1.085027 -0.001657 0.160081
5.642000 12.747260 1.096960 -0.001657 0.163325
